Timestamp,Customer,Event
2.040120574549602,Customer 1,Arrived
2.040120574549602,Customer 1,Request type: complex
2.0907782526350798,Customer 2,Arrived
2.0907782526350798,Customer 2,Request type: simple
2.1230769648704624,Customer 2,Resolved by AI
2.190406316161449,Customer 1,Resolved by AI
2.3070518204248387,Customer 3,Arrived
2.3070518204248387,Customer 3,Request type: simple
2.3339462241051465,Customer 3,Resolved by AI
2.5038111197417514,Customer 4,Arrived
2.5038111197417514,Customer 4,Request type: complex
2.947194458069112,Customer 5,Arrived
2.947194458069112,Customer 5,Request type: simple
2.947194458069112,Customer 5,Queued for Level 1 Support
2.947194458069112,Customer 5,Level 1 Support Started
3.393619826043514,Customer 4,Resolved by AI
3.816933926202063,Customer 5,Resolved by Level 1
6.262670646515307,Customer 6,Arrived
6.262670646515307,Customer 6,Request type: complex
7.361160543014718,Customer 7,Arrived
7.361160543014718,Customer 7,Request type: simple
7.805854197862866,Customer 7,Resolved by AI
8.181898402776884,Customer 8,Arrived
8.181898402776884,Customer 8,Request type: complex
8.181898402776884,Customer 8,Queued for Level 1 Support
8.181898402776884,Customer 8,Level 1 Support Started
9.024952394966354,Customer 9,Arrived
9.024952394966354,Customer 9,Request type: complex
9.371929205914906,Customer 9,Resolved by AI
9.414193294953611,Customer 6,Resolved by AI
10.561677243026692,Customer 10,Arrived
10.561677243026692,Customer 10,Request type: complex
10.561677243026692,Customer 10,Queued for Level 1 Support
10.561677243026692,Customer 10,Level 1 Support Started
12.542842836094342,Customer 11,Arrived
12.542842836094342,Customer 11,Request type: simple
12.542842836094342,Customer 11,Queued for Level 1 Support
12.542842836094342,Customer 11,Level 1 Support Started
12.636657916608119,Customer 12,Arrived
12.636657916608119,Customer 12,Request type: simple
13.240714770368383,Customer 12,Resolved by AI
14.723600555008218,Customer 8,Resolved by Level 1
16.503088156853256,Customer 13,Arrived
16.503088156853256,Customer 13,Request type: complex
16.65832510426585,Customer 10,Resolved by Level 1
16.813667477993242,Customer 13,Resolved by AI
16.85812421448655,Customer 14,Arrived
16.85812421448655,Customer 14,Request type: simple
17.138911345309076,Customer 14,Resolved by AI
18.9465734838983,Customer 15,Arrived
18.9465734838983,Customer 15,Request type: complex
18.9465734838983,Customer 15,Queued for Level 1 Support
18.9465734838983,Customer 15,Level 1 Support Started
20.187334485847988,Customer 16,Arrived
20.187334485847988,Customer 16,Request type: complex
20.187334485847988,Customer 16,Queued for Level 1 Support
20.187334485847988,Customer 16,Level 1 Support Started
21.815478626182912,Customer 17,Arrived
21.815478626182912,Customer 17,Request type: simple
21.815478626182912,Customer 17,Queued for Level 1 Support
21.815478626182912,Customer 17,Level 1 Support Started
22.33573714120422,Customer 18,Arrived
22.33573714120422,Customer 18,Request type: complex
22.472698729042495,Customer 19,Arrived
22.472698729042495,Customer 19,Request type: complex
22.623091850124005,Customer 19,Resolved by AI
23.027348021462593,Customer 18,Resolved by AI
24.0548263861995,Customer 15,Escalated to Level 2
24.0548263861995,Customer 15,Queued for Level 2 Support
24.0548263861995,Customer 15,Level 2 Support Started
24.379322737471558,Customer 17,Resolved by Level 1
26.79284224021474,Customer 20,Arrived
26.79284224021474,Customer 20,Request type: complex
26.79284224021474,Customer 20,Queued for Level 1 Support
26.79284224021474,Customer 20,Level 1 Support Started
27.667878647069685,Customer 16,Escalated to Level 2
27.667878647069685,Customer 16,Queued for Level 2 Support
27.667878647069685,Customer 16,Level 2 Support Started
29.341977062679057,Customer 20,Escalated to Level 2
29.341977062679057,Customer 20,Queued for Level 2 Support
29.541683006726117,Customer 21,Arrived
29.541683006726117,Customer 21,Request type: simple
29.541683006726117,Customer 21,Queued for Level 1 Support
29.541683006726117,Customer 21,Level 1 Support Started
29.732304073117238,Customer 22,Arrived
29.732304073117238,Customer 22,Request type: complex
29.732304073117238,Customer 22,Queued for Level 1 Support
30.080967994824096,Customer 23,Arrived
30.080967994824096,Customer 23,Request type: complex
30.080967994824096,Customer 23,Queued for Level 1 Support
30.37101929443536,Customer 21,Resolved by Level 1
30.37101929443536,Customer 22,Level 1 Support Started
31.052477450290116,Customer 24,Arrived
31.052477450290116,Customer 24,Request type: simple
31.174138707391556,Customer 24,Resolved by AI
31.79790612624232,Customer 15,Resolved by Level 2
31.79790612624232,Customer 20,Level 2 Support Started
31.79790612624232,Customer 23,Level 1 Support Started
33.615759111791334,Customer 11,Resolved by Level 1
34.99587289915255,Customer 25,Arrived
34.99587289915255,Customer 25,Request type: complex
35.56638704773706,Customer 25,Resolved by AI
37.9230768739323,Customer 26,Arrived
37.9230768739323,Customer 26,Request type: complex
37.9230768739323,Customer 26,Queued for Level 1 Support
37.9230768739323,Customer 26,Level 1 Support Started
38.74696481729585,Customer 23,Escalated to Level 2
38.74696481729585,Customer 23,Queued for Level 2 Support
39.132337671660984,Customer 27,Arrived
39.132337671660984,Customer 27,Request type: complex
39.132337671660984,Customer 27,Queued for Level 1 Support
39.35735595717536,Customer 28,Arrived
39.35735595717536,Customer 28,Request type: simple
40.774539152973745,Customer 29,Arrived
40.774539152973745,Customer 29,Request type: simple
40.79498908771741,Customer 28,Resolved by AI
41.4451535307351,Customer 29,Resolved by AI
42.324898683611494,Customer 30,Arrived
42.324898683611494,Customer 30,Request type: complex
42.324898683611494,Customer 30,Queued for Level 1 Support
42.56216786183377,Customer 31,Arrived
42.56216786183377,Customer 31,Request type: complex
42.83775219781817,Customer 31,Resolved by AI
45.09970582598272,Customer 26,Escalated to Level 2
45.09970582598272,Customer 26,Queued for Level 2 Support
46.12577262608875,Customer 32,Arrived
46.12577262608875,Customer 32,Request type: complex
46.12577262608875,Customer 32,Queued for Level 1 Support
46.28983559868681,Customer 33,Arrived
46.28983559868681,Customer 33,Request type: simple
46.93473062282274,Customer 33,Resolved by AI
48.086848215189846,Customer 22,Escalated to Level 2
48.086848215189846,Customer 22,Queued for Level 2 Support
